回答者ID,年代,利用頻度,利用機能,満足度
1,30代,月に1回程度,利用者登録や更新を申請する機能;資料を予約する機能;借りた本に感想を残す機能,2
2,60代以上,週に数回以上,図書館アプリを使うつもりはない,4
3,50代,月に数回,資料を予約する機能;利用者登録や更新を申請する機能;返却期限を延長する機能,3
4,40代,それ以下,図書館アプリを使うつもりはない,3
5,10代,月に数回,図書館アプリを使うつもりはない,1
6,10代,週に数回以上,返却期限を延長する機能;貸出履歴の機能;借りた本に感想を残す機能,5
7,10代,週に数回以上,利用者登録や更新を申請する機能;借りた本に感想を残す機能;現在借りている本や予約中の資料を確認する機能;資料を予約する機能;返却期限を延長する機能;お気に入りの資料を登録する機能,3
8,60代以上,月に数回,図書館アプリを使うつもりはない,1
9,40代,週に数回以上,資料を予約する機能;返却期限を延長する機能;現在借りている本や予約中の資料を確認する機能,5
10,50代,月に数回,図書館アプリを使うつもりはない,1
11,10代,週に1回程度,お気に入りの資料を登録する機能;利用者登録や更新を申請する機能;現在借りている本や予約中の資料を確認する機能,3
12,60代以上,月に数回,図書館アプリを使うつもりはない,4
13,60代以上,月に数回,貸出履歴の機能;利用者登録や更新を申請する機能;資料を予約する機能,5
14,10代,週に数回以上,返却期限を延長する機能;借りた本に感想を残す機能;返却期限がわかる(お知らせする)機能,4
15,10代,月に数回,借りた本に感想を残す機能;返却期限がわかる(お知らせする)機能;返却期限を延長する機能,4
16,10代,週に数回以上,貸出履歴の機能;資料を予約する機能;お気に入りの資料を登録する機能;返却期限がわかる(お知らせする)機能;現在借りている本や予約中の資料を確認する機能,4
17,20代,月に数回,返却期限がわかる(お知らせする)機能;返却期限を延長する機能;借りた本に感想を残す機能;お気に入りの資料を登録する機能,3
18,40代,それ以下,貸出履歴の機能;借りた本に感想を残す機能;現在借りている本や予約中の資料を確認する機能;資料を予約する機能,3
19,30代,月に1回程度,利用者登録や更新を申請する機能;現在借りている本や予約中の資料を確認する機能;資料を予約する機能;お気に入りの資料を登録する機能;返却期限がわかる(お知らせする)機能;借りた本に感想を残す機能,4
20,20代,それ以下,返却期限がわかる(お知らせする)機能;お気に入りの資料を登録する機能;資料を予約する機能;貸出履歴の機能;借りた本に感想を残す機能;返却期限を延長する機能,5
21,40代,それ以下,貸出履歴の機能;資料を予約する機能;借りた本に感想を残す機能;利用者登録や更新を申請する機能;返却期限を延長する機能;現在借りている本や予約中の資料を確認する機能,5
22,10代,月に数回,返却期限がわかる(お知らせする)機能;借りた本に感想を残す機能;貸出履歴の機能;返却期限を延長する機能,5
23,20代,週に1回程度,利用者登録や更新を申請する機能;お気に入りの資料を登録する機能;現在借りている本や予約中の資料を確認する機能;貸出履歴の機能;返却期限がわかる(お知らせする)機能;返却期限を延長する機能,2
24,30代,月に1回程度,お気に入りの資料を登録する機能;現在借りている本や予約中の資料を確認する機能;貸出履歴の機能;返却期限がわかる(お知らせする)機能,4
25,30代,月に数回,利用者登録や更新を申請する機能;借りた本に感想を残す機能;貸出履歴の機能,2
26,60代以上,週に数回以上,図書館アプリを使うつもりはない,2
27,10代,それ以下,現在借りている本や予約中の資料を確認する機能;利用者登録や更新を申請する機能;返却期限がわかる(お知らせする)機能;返却期限を延長する機能;その他,4
28,40代,月に1回程度,返却期限を延長する機能;現在借りている本や予約中の資料を確認する機能;資料を予約する機能;利用者登録や更新を申請する機能;借りた本に感想を残す機能;その他,5
29,40代,それ以下,返却期限がわかる(お知らせする)機能;資料を予約する機能;貸出履歴の機能,3
30,10代,月に数回,借りた本に感想を残す機能;資料を予約する機能;利用者登録や更新を申請する機能;お気に入りの資料を登録する機能;返却期限がわかる(お知らせする)機能,2
31,40代,それ以下,お気に入りの資料を登録する機能;利用者登録や更新を申請する機能;返却期限を延長する機能;現在借りている本や予約中の資料を確認する機能;資料を予約する機能,2
32,10代,週に1回程度,返却期限を延長する機能;現在借りている本や予約中の資料を確認する機能;借りた本に感想を残す機能;貸出履歴の機能,5
33,10代,月に数回,資料を予約する機能;利用者登録や更新を申請する機能;お気に入りの資料を登録する機能;返却期限がわかる(お知らせする)機能;返却期限を延長する機能,4
34,60代以上,週に1回程度,図書館アプリを使うつもりはない,1
35,60代以上,週に数回以上,お気に入りの資料を登録する機能;資料を予約する機能;返却期限を延長する機能,1
36,60代以上,月に数回,資料を予約する機能,3
37,20代,月に数回,図書館アプリを使うつもりはない,1
38,10代,週に数回以上,借りた本に感想を残す機能;返却期限を延長する機能;貸出履歴の機能;現在借りている本や予約中の資料を確認する機能;利用者登録や更新を申請する機能;お気に入りの資料を登録する機能,5
39,50代,月に1回程度,図書館アプリを使うつもりはない,3
40,30代,月に数回,返却期限を延長する機能;資料を予約する機能;利用者登録や更新を申請する機能;お気に入りの資料を登録する機能,2
41,10代,月に1回程度,返却期限を延長する機能;借りた本に感想を残す機能;現在借りている本や予約中の資料を確認する機能;お気に入りの資料を登録する機能;貸出履歴の機能;利用者登録や更新を申請する機能,2
42,30代,それ以下,資料を予約する機能;借りた本に感想を残す機能;お気に入りの資料を登録する機能,5
43,10代,月に1回程度,借りた本に感想を残す機能;現在借りている本や予約中の資料を確認する機能;資料を予約する機能;返却期限を延長する機能;その他,3
44,60代以上,週に1回程度,図書館アプリを使うつもりはない,1
45,20代,週に数回以上,利用者登録や更新を申請する機能;返却期限を延長する機能;貸出履歴の機能;お気に入りの資料を登録する機能;借りた本に感想を残す機能;現在借りている本や予約中の資料を確認する機能,5
46,50代,それ以下,図書館アプリを使うつもりはない,4
47,20代,月に1回程度,図書館アプリを使うつもりはない,5
48,40代,それ以下,貸出履歴の機能;現在借りている本や予約中の資料を確認する機能;借りた本に感想を残す機能,5
49,40代,それ以下,現在借りている本や予約中の資料を確認する機能;利用者登録や更新を申請する機能;お気に入りの資料を登録する機能;資料を予約する機能;その他,3
50,10代,月に1回程度,図書館アプリを使うつもりはない,1
51,60代以上,週に数回以上,資料を予約する機能;利用者登録や更新を申請する機能,4
52,60代以上,週に1回程度,図書館アプリを使うつもりはない,2
53,60代以上,月に1回程度,資料を予約する機能;返却期限を延長する機能;貸出履歴の機能,3
54,60代以上,週に1回程度,貸出履歴の機能;返却期限がわかる(お知らせする)機能;資料を予約する機能,4
55,40代,月に数回,返却期限を延長する機能;返却期限がわかる(お知らせする)機能;お気に入りの資料を登録する機能;資料を予約する機能;借りた本に感想を残す機能,2
56,60代以上,月に数回,現在借りている本や予約中の資料を確認する機能,3
57,10代,月に1回程度,資料を予約する機能;利用者登録や更新を申請する機能;お気に入りの資料を登録する機能,1
58,10代,月に数回,資料を予約する機能;お気に入りの資料を登録する機能;返却期限がわかる(お知らせする)機能;貸出履歴の機能;借りた本に感想を残す機能,4
59,10代,月に数回,現在借りている本や予約中の資料を確認する機能;貸出履歴の機能;利用者登録や更新を申請する機能;返却期限がわかる(お知らせする)機能;お気に入りの資料を登録する機能,2
60,20代,週に1回程度,資料を予約する機能;貸出履歴の機能;利用者登録や更新を申請する機能,2
61,30代,月に1回程度,貸出履歴の機能;資料を予約する機能;お気に入りの資料を登録する機能;返却期限がわかる(お知らせする)機能,2
62,20代,それ以下,資料を予約する機能;貸出履歴の機能;返却期限を延長する機能,4
63,60代以上,週に数回以上,図書館アプリを使うつもりはない,3
64,20代,月に1回程度,利用者登録や更新を申請する機能;資料を予約する機能;貸出履歴の機能;返却期限を延長する機能,4
65,20代,それ以下,資料を予約する機能;現在借りている本や予約中の資料を確認する機能;貸出履歴の機能,5
66,40代,それ以下,返却期限がわかる(お知らせする)機能;返却期限を延長する機能;資料を予約する機能;現在借りている本や予約中の資料を確認する機能;お気に入りの資料を登録する機能,3
67,10代,月に数回,貸出履歴の機能;資料を予約する機能;お気に入りの資料を登録する機能,3
68,60代以上,月に数回,図書館アプリを使うつもりはない,3
69,10代,週に1回程度,返却期限がわかる(お知らせする)機能;資料を予約する機能;借りた本に感想を残す機能;貸出履歴の機能;返却期限を延長する機能;現在借りている本や予約中の資料を確認する機能,3
70,60代以上,週に数回以上,返却期限を延長する機能;返却期限がわかる(お知らせする)機能,5
71,50代,それ以下,図書館アプリを使うつもりはない,1
